pollster,date,fidesz,tisza,dk,mihazank,mkkp,momentum,url
Társadalomkutató,2022-01-25,0.51,,,0.03,0.03,,
Republikon,2022-01-21,0.47340000000000004,,,0.026600000000000002,0.032400000000000005,,
Alapjogokért K,2022-01-18,0.49,,,0.04,0.03,,
Publicus,2022-01-16,0.4783,,,0.028999999999999998,0.014499999999999999,,
IDEA,2022-01-09,0.4778,,,0.0383,0.0322,,
IDEA,2022-01-09,0.4867,,0.1583,0.04,0.035,0.085,
Nézőpont,2022-01-04,0.5,,,0.03,0.03,,
Real-PR 93,2021-12-22,0.529,,,,,,
Nézőpont,2021-12-14,0.55,,,,,,
Republikon,2021-12-11,0.4321,,0.1589,0.0397,0.0282,0.0911,
Závecz RI,2021-12-08,0.4775,,,,,,
Iránytű,2021-12-08,0.5287,,,0.0575,0.046,,
Závecz RI,2021-12-08,0.4722,,0.16690000000000002,0.0278,0.016399999999999998,0.0571,
Iránytű,2021-12-08,0.4598,,0.1149,0.0575,0.069,0.0805,
IDEA,2021-12-06,0.4612,,,0.0438,0.0329,,
IDEA,2021-12-06,0.4715,,0.1711,0.0403,0.0353,0.0973,
Medián,2021-12-05,0.4446,,,0.0626,0.0701,,
Társadalomkutató,2021-11-28,0.51,,,,,,
Publicus,2021-11-27,0.44920000000000004,,0.18539999999999998,0.0025,0.0070999999999999995,0.07400000000000001,
Publicus,2021-11-27,0.46380000000000005,,,,,,
Republikon,2021-11-20,0.4165,,0.1501,0.0236,0.0405,0.086,
Závecz RI,2021-11-19,0.47450000000000003,,,,,,
Závecz RI,2021-11-19,0.4692,,0.1709,0.0277,0.0227,0.056600000000000004,
Real-PR 93,2021-11-10,0.55,,,,,,
Nézőpont,2021-11-09,0.56,,,,,,
Závecz RI,2021-11-07,0.4302,,,0.0349,0.0349,,
Závecz RI,2021-11-07,0.4302,,0.20929999999999999,0.04650000000000001,0.04650000000000001,0.0581,
Nézőpont,2021-11-02,0.5657,,,,,,
IDEA,2021-10-31,0.46619999999999995,,,0.0388,0.0269,,
IDEA,2021-10-31,0.4697,,0.1661,0.0353,0.0353,0.09230000000000001,
Republikon,2021-10-27,0.4205,,0.1589,0.0232,0.0282,0.09609999999999999,
Nézőpont,2021-10-26,0.56,,,,,,
Real-PR 93,2021-10-20,0.5306000000000001,,,,,,
Nézőpont,2021-10-19,0.5545,,,,,,
Závecz RI,2021-10-15,0.46409999999999996,,,,,,
Závecz RI,2021-10-15,0.46140000000000003,,0.18289999999999998,0.009000000000000001,0.014499999999999999,0.048600000000000004,
Nézőpont,2021-10-12,0.5657,,,,,,
Századvég,2021-10-06,0.4839,,,0.0323,0.0538,,
Nézőpont,2021-10-05,0.5455,,,,,,
IDEA,2021-10-04,0.456,,0.1722,0.0355,0.0287,0.0861,
IDEA,2021-10-04,0.4612,,,0.0329,0.0269,,
Publicus,2021-10-03,0.4293,,0.1827,0.0129,0.0098,0.0716,
Republikon,2021-10-02,0.4379,,0.1797,0.011399999999999999,0.022799999999999997,0.08990000000000001,
Medián,2021-10-01,0.4414,,,0.044500000000000005,0.055099999999999996,,
Medián,2021-10-01,0.4357,,0.1356,0.044500000000000005,0.0731,0.0705,
Nézőpont,2021-09-28,0.54,,,,,,
Nézőpont,2021-09-20,0.53,,,,,,
Závecz RI,2021-09-16,0.48219999999999996,,,,,,
Závecz RI,2021-09-16,0.4753,,0.1638,0.0096,0.0118,0.056100000000000004,
IDEA,2021-09-03,0.4739,,,0.0331,0.027000000000000003,,
IDEA,2021-09-03,0.4697,,0.1543,0.0353,0.0353,0.0688,
Republikon,2021-08-24,0.4487,,0.1705,0.0116,0.0116,0.0795,
Nézőpont,2021-08-24,0.5128,,,,,,
Závecz RI,2021-08-12,0.4802,,,,,,
Závecz RI,2021-08-12,0.484,,0.1641,0.013300000000000001,0.018000000000000002,0.0574,
IDEA,2021-07-27,0.4642,,0.1564,0.0358,0.0358,0.0867,
Nézőpont,2021-07-27,0.502,,,,,,
IDEA,2021-07-27,0.4629,,,0.0391,0.0381,,
Republikon,2021-07-20,0.4765,,0.1611,0.0118,0.0168,0.0805,
IDEA,2021-07-02,0.4636,,0.1464,0.0364,0.0364,0.0757,
IDEA,2021-07-02,0.4572,,,0.0447,0.0335,,
Republikon,2021-06-25,0.47909999999999997,,0.13019999999999998,0.012199999999999999,0.012199999999999999,0.1007,
Závecz RI,2021-06-12,0.47090000000000004,,,,,,
Závecz RI,2021-06-12,0.46090000000000003,,0.16440000000000002,0.0098,0.0118,0.07440000000000001,
Nézőpont,2021-06-08,0.5164,,,0.021400000000000002,0.016399999999999998,,
Medián,2021-06-05,0.49439999999999995,,,0.045,0.045,,
Medián,2021-06-05,0.4932,,0.0959,0.041100000000000005,0.06849999999999999,0.06849999999999999,
IDEA,2021-06-02,0.4579,,,0.0331,0.022000000000000002,,
IDEA,2021-06-02,0.45539999999999997,,0.15039999999999998,0.0241,0.0241,0.0873,
Republikon,2021-05-21,0.4738,,0.1197,0.0125,0.0175,0.1072,
