pollster,date,url,fidesz,tisza,dk,mihazank,mkkp,momentum,dk_mszp_p
Závecz RI,2024-05-28,,120,49,0,9,0,0,22
Real-PR 93,2024-05-28,,116,47,0,8,12,0,17
Medián,2024-05-28,,126,52,0,11,0,0,11
Századvég,2024-05-24,,117,40,0,10,16,0,17
IDEA,2024-05-24,,121,48,0,9,0,0,22
Alapjogokért Központ,2024-05-23,,121,45,0,10,10,0,14
Nézőpont,2024-05-21,,120,41,0,12,12,0,15
Társadalomkutató,2024-05-15,,132,45,0,0,9,0,14
Závecz RI,2024-05-06,,111,48,0,11,0,0,30
Nézőpont,2024-04-30,,125,35,0,9,12,0,19
Nézőpont,2024-04-30,,117,38,0,10,12,0,23
IDEA,2024-04-29,,117,40,0,0,10,0,33
IDEA,2024-04-29,,112,38,0,9,9,0,32
Publicus,2024-04-28,,116,42,0,0,0,0,42
Publicus,2024-04-28,,115,39,0,0,0,0,46
Medián,2024-04-27,,121,43,0,9,11,0,16
Republikon,2024-04-24,,105,31,0,11,11,0,42
Iránytű,2024-04-18,,129,46,0,0,9,0,16
Iránytű,2024-04-10,,137,36,0,11,0,0,16
Závecz RI,2024-04-07,,115,0,0,17,15,0,53
Závecz RI,2024-04-07,,101,26,0,15,11,0,47
IDEA,2024-04-04,,127,0,0,14,13,0,46
Nézőpont,2024-04-03,,123,23,0,11,20,0,23
Republikon,2024-03-29,,110,31,33,16,10,0,0
Republikon,2024-03-29,,123,0,42,19,16,0,0
Medián,2024-03-07,,135,0,25,17,23,0,0
IDEA,2024-03-06,,129,0,40,16,15,0,0
Társadalomkutató,2024-03-05,,138,0,18,21,23,0,0
Závecz RI,2024-03-04,,138,0,42,20,0,0,0
Nézőpont,2024-02-27,,138,0,29,17,16,0,0
Republikon,2024-02-24,,124,0,38,20,18,0,0
21 Kutató,2024-02-24,,133,0,33,15,19,0,0
IDEA,2024-02-04,,126,0,41,19,14,0,0
Republikon,2024-01-17,,127,0,39,18,16,0,0
Medián,2024-01-10,,148,0,21,17,14,0,0
Alapjogokért Központ,2024-01-08,,141,0,21,20,18,0,0
Századvég,2024-01-06,,141,0,21,20,18,0,0
Nézőpont,2024-01-03,,141,0,29,14,16,0,0
IDEA,2024-01-02,,129,0,40,19,12,0,0
Real-PR 93,2023-12-19,,136,0,25,16,23,0,0
Társadalomkutató,2023-12-16,,139,0,21,20,20,0,0
Real-PR 93,2023-12-13,,141,0,25,20,14,0,0
IDEA,2023-12-06,,125,0,41,18,16,0,0
Republikon,2023-11-20,,129,0,37,19,15,0,0
IDEA,2023-11-08,,128,0,41,19,12,0,0
Závecz RI,2023-11-03,,140,0,42,18,0,0,0
Republikon,2023-10-20,,130,0,37,21,12,0,0
IDEA,2023-10-05,,130,0,39,19,12,0,0
Medián,2023-09-24,,138,0,24,21,17,0,0
Republikon,2023-09-21,,126,0,37,21,16,0,0
Závecz RI,2023-09-13,,130,0,39,21,10,0,0
Nézőpont,2023-09-05,,145,0,21,18,16,0,0
IDEA,2023-09-02,,128,0,37,21,14,0,0
21 Kutató,2023-08-26,,134,0,32,20,14,0,0
Republikon,2023-08-19,,128,0,36,21,15,0,0
IDEA,2023-08-03,,130,0,40,18,12,0,0
Republikon,2023-07-19,,133,0,38,17,12,0,0
IDEA,2023-07-08,,132,0,37,17,14,0,0
21 Kutató,2023-07-01,,137,0,34,19,10,0,0
Republikon,2023-06-21,,138,0,34,15,13,0,0
IDEA,2023-06-02,,131,0,39,17,13,0,0
Medián,2023-05-28,,136,0,27,16,21,0,0
Nézőpont,2023-05-16,,152,0,35,13,0,0,0
Iránytű,2023-05-16,,133,0,27,20,20,0,0
IDEA,2023-05-08,,132,0,37,17,14,0,0
Závecz RI,2023-05-01,,142,0,42,16,0,0,0
Závecz RI,2023-05-01,,142,0,41,17,0,0,0
Republikon,2023-04-24,,139,0,35,16,10,0,0
21 Kutató,2023-04-15,,137,0,32,13,18,0,0
IDEA,2023-04-03,,132,0,39,17,12,0,0
Társadalomkutató,2023-03-28,,141,0,23,16,20,0,0
Republikon,2023-03-22,,140,0,43,17,0,0,0
Századvég,2023-03-15,,133,0,21,21,25,0,0
IDEA,2023-03-06,,133,0,37,18,12,0,0
Závecz RI,2023-03-04,,142,0,39,19,0,0,0
Medián,2023-02-24,,144,0,27,12,17,0,0
Nézőpont,2023-02-21,,141,0,23,18,18,0,0
Iránytű,2023-02-14,,139,0,25,18,18,0,0
Republikon,2023-02-12,,142,0,43,15,0,0,0
IDEA,2023-02-07,,133,0,37,20,10,0,0
IDEA,2023-01-05,,133,0,37,18,12,0,0
Republikon,2023-01-04,,137,0,43,20,0,0,0
Nézőpont,2023-01-03,,158,0,29,13,0,0,0
Medián,2022-12-12,,140,0,25,19,16,0,0
Real-PR 93,2022-12-11,,141,0,25,20,14,0,0
IDEA,2022-12-05,,133,0,37,20,10,0,0
Republikon,2022-11-25,,139,0,39,22,0,0,0
Závecz RI,2022-11-18,,147,0,35,18,0,0,0
21 Kutató,2022-11-10,,142,0,27,19,12,0,0
IDEA,2022-11-02,,144,0,37,19,0,0,0
Republikon,2022-10-21,,147,0,34,19,0,0,0
Nézőpont,2022-10-18,,177,0,23,0,0,0,0
Medián,2022-10-18,,144,0,24,16,16,0,0
IDEA,2022-10-04,,139,0,41,20,0,0,0
Závecz RI,2022-09-18,,152,0,31,17,0,0,0
IDEA,2022-09-04,,137,0,33,20,10,0,0
Nézőpont,2022-08-30,,166,0,17,17,0,0,0
IDEA,2022-08-01,,138,0,33,19,10,0,0
IDEA,2022-07-14,,143,0,27,18,12,0,0
Nézőpont,2022-07-12,,166,0,12,11,11,0,0
Nézőpont,2022-06-21,,164,0,13,13,10,0,0
IDEA,2022-05-04,,156,0,25,19,0,0,0
Závecz RI,2022-04-29,,163,0,23,14,0,0,0
Medián,2022-04-28,,156,0,16,16,12,0,0
Republikon,2022-04-22,,171,0,29,0,0,0,0
Medián,2022-03-30,,200,0,0,0,0,0,0
Publicus,2022-03-30,,200,0,0,0,0,0,0
Társadalomkutató,2022-03-29,,183,0,0,17,0,0,0
Publicus,2022-03-27,,200,0,0,0,0,0,0
Medián,2022-03-25,,200,0,0,0,0,0,0
IDEA,2022-03-25,,200,0,0,0,0,0,0
Századvég,2022-03-25,,200,0,0,0,0,0,0
Nézőpont,2022-03-24,,200,0,0,0,0,0,0
Závecz RI,2022-03-24,,200,0,0,0,0,0,0
Závecz RI,2022-03-23,,200,0,0,0,0,0,0
Real-PR 93,2022-03-23,,185,0,0,15,0,0,0
Publicus,2022-03-23,,200,0,0,0,0,0,0
Társadalomkutató,2022-03-22,,200,0,0,0,0,0,0
Nézőpont,2022-03-18,,200,0,0,0,0,0,0
Republikon,2022-03-17,,200,0,0,0,0,0,0
Publicus,2022-03-09,,200,0,0,0,0,0,0
IDEA,2022-03-06,,200,0,0,0,0,0,0
IDEA,2022-03-06,,161,0,39,0,0,0,0
Publicus,2022-03-01,,200,0,0,0,0,0,0
Medián,2022-02-24,,200,0,0,0,0,0,0
Republikon,2022-02-21,,200,0,0,0,0,0,0
Nézőpont,2022-02-15,,200,0,0,0,0,0,0
Publicus,2022-02-12,,200,0,0,0,0,0,0
Real-PR 93,2022-02-10,,200,0,0,0,0,0,0
Závecz RI,2022-02-06,,200,0,0,0,0,0,0
Závecz RI,2022-02-06,,161,0,39,0,0,0,0
IDEA,2022-02-04,,185,0,0,15,0,0,0
IDEA,2022-02-04,,152,0,37,11,0,0,0
Társadalomkutató,2022-01-25,,200,0,0,0,0,0,0
Republikon,2022-01-21,,200,0,0,0,0,0,0
Alapjogokért Központ,2022-01-18,,200,0,0,0,0,0,0
Publicus,2022-01-16,,200,0,0,0,0,0,0
IDEA,2022-01-09,,200,0,0,0,0,0,0
IDEA,2022-01-09,,161,0,39,0,0,0,0
Nézőpont,2022-01-04,,200,0,0,0,0,0,0
Real-PR 93,2021-12-22,,200,0,0,0,0,0,0
Nézőpont,2021-12-14,,200,0,0,0,0,0,0
Republikon,2021-12-11,,157,0,43,0,0,0,0
Závecz RI,2021-12-08,,157,0,43,0,0,0,0
Iránytű,2021-12-08,,145,0,25,14,16,0,0
Závecz RI,2021-12-08,,200,0,0,0,0,0,0
Iránytű,2021-12-08,,173,0,0,15,12,0,0
IDEA,2021-12-06,,200,0,0,0,0,0,0
IDEA,2021-12-06,,158,0,42,0,0,0,0
Medián,2021-12-05,,163,0,0,17,20,0,0
Társadalomkutató,2021-11-28,,200,0,0,0,0,0,0
Publicus,2021-11-27,,200,0,0,0,0,0,0
Publicus,2021-11-27,,160,0,40,0,0,0,0
Republikon,2021-11-20,,158,0,42,0,0,0,0
Závecz RI,2021-11-19,,200,0,0,0,0,0,0
Závecz RI,2021-11-19,,157,0,43,0,0,0,0
Real-PR 93,2021-11-10,,200,0,0,0,0,0,0
Nézőpont,2021-11-09,,200,0,0,0,0,0,0
Závecz RI,2021-11-07,,133,0,45,11,11,0,0
Závecz RI,2021-11-07,,200,0,0,0,0,0,0
Nézőpont,2021-11-02,,200,0,0,0,0,0,0
IDEA,2021-10-31,,200,0,0,0,0,0,0
IDEA,2021-10-31,,157,0,43,0,0,0,0
Republikon,2021-10-27,,156,0,44,0,0,0,0
Nézőpont,2021-10-26,,200,0,0,0,0,0,0
Real-PR 93,2021-10-20,,200,0,0,0,0,0,0
Nézőpont,2021-10-19,,200,0,0,0,0,0,0
Závecz RI,2021-10-15,,200,0,0,0,0,0,0
Závecz RI,2021-10-15,,155,0,45,0,0,0,0
Nézőpont,2021-10-12,,200,0,0,0,0,0,0
Századvég,2021-10-06,,185,0,0,0,15,0,0
Nézőpont,2021-10-05,,200,0,0,0,0,0,0
IDEA,2021-10-04,,157,0,43,0,0,0,0
IDEA,2021-10-04,,200,0,0,0,0,0,0
Publicus,2021-10-03,,159,0,41,0,0,0,0
Republikon,2021-10-02,,154,0,46,0,0,0,0
Medián,2021-10-01,,181,0,0,0,19,0,0
Medián,2021-10-01,,148,0,35,0,17,0,0
Nézőpont,2021-09-28,,200,0,0,0,0,0,0
Nézőpont,2021-09-20,,200,0,0,0,0,0,0
Závecz RI,2021-09-16,,200,0,0,0,0,0,0
Závecz RI,2021-09-16,,160,0,40,0,0,0,0
IDEA,2021-09-03,,200,0,0,0,0,0,0
IDEA,2021-09-03,,161,0,39,0,0,0,0
Republikon,2021-08-24,,156,0,44,0,0,0,0
Nézőpont,2021-08-24,,200,0,0,0,0,0,0
Závecz RI,2021-08-12,,200,0,0,0,0,0,0
Závecz RI,2021-08-12,,160,0,40,0,0,0,0
IDEA,2021-07-27,,159,0,41,0,0,0,0
IDEA,2021-07-27,,200,0,0,0,0,0,0
Nézőpont,2021-07-27,,200,0,0,0,0,0,0
Republikon,2021-07-20,,160,0,40,0,0,0,0
IDEA,2021-07-02,,200,0,0,0,0,0,0
IDEA,2021-07-02,,161,0,39,0,0,0,0
Republikon,2021-06-25,,166,0,34,0,0,0,0
Závecz RI,2021-06-12,,200,0,0,0,0,0,0
Závecz RI,2021-06-12,,159,0,41,0,0,0,0
Nézőpont,2021-06-08,,200,0,0,0,0,0,0
Medián,2021-06-05,,200,0,0,0,0,0,0
Medián,2021-06-05,,159,0,24,0,17,0,0
IDEA,2021-06-02,,200,0,0,0,0,0,0
IDEA,2021-06-02,,161,0,39,0,0,0,0
Republikon,2021-05-21,,167,0,33,0,0,0,0
Publicus,2021-05-19,,200,0,0,0,0,0,0
Publicus,2021-05-19,,164,0,36,0,0,0,0
Závecz RI,2021-05-12,,158,0,42,0,0,0,0
Závecz RI,2021-05-12,,200,0,0,0,0,0,0
IDEA,2021-04-30,,200,0,0,0,0,0,0
IDEA,2021-04-30,,160,0,40,0,0,0,0
Nézőpont,2021-04-27,,200,0,0,0,0,0,0
Publicus,2021-04-26,,200,0,0,0,0,0,0
Publicus,2021-04-26,,167,0,33,0,0,0,0
Republikon,2021-04-21,,165,0,35,0,0,0,0
Závecz RI,2021-04-13,,200,0,0,0,0,0,0
Závecz RI,2021-04-13,,159,0,41,0,0,0,0
Medián,2021-04-09,,185,0,0,0,15,0,0
Medián,2021-04-09,,161,0,24,0,15,0,0
IDEA,2021-03-28,,157,0,43,0,0,0,0
IDEA,2021-03-28,,200,0,0,0,0,0,0
Publicus,2021-03-23,,164,0,36,0,0,0,0
Republikon,2021-03-21,,161,0,39,0,0,0,0
Nézőpont,2021-03-08,,200,0,0,0,0,0,0
Závecz RI,2021-03-06,,200,0,0,0,0,0,0
Závecz RI,2021-03-06,,159,0,41,0,0,0,0
IDEA,2021-02-23,,200,0,0,0,0,0,0
IDEA,2021-02-23,,155,0,45,0,0,0,0
Publicus,2021-02-22,,165,0,35,0,0,0,0
Medián,2021-02-19,,175,0,0,0,25,0,0
Medián,2021-02-19,,162,0,17,0,21,0,0
Republikon,2021-02-18,,160,0,40,0,0,0,0
Závecz RI,2021-02-09,,159,0,41,0,0,0,0
Závecz RI,2021-02-09,,200,0,0,0,0,0,0
IDEA,2021-01-24,,155,0,45,0,0,0,0
IDEA,2021-01-24,,200,0,0,0,0,0,0
Závecz RI,2021-01-21,,164,0,36,0,0,0,0
Závecz RI,2021-01-21,,200,0,0,0,0,0,0
Publicus,2021-01-20,,166,0,34,0,0,0,0
Nézőpont,2021-01-19,,200,0,0,0,0,0,0
Republikon,2021-01-17,,158,0,42,0,0,0,0
Publicus,2020-12-15,,166,0,34,0,0,0,0
Nézőpont,2020-12-15,,200,0,0,0,0,0,0
IDEA,2020-12-13,,159,0,41,0,0,0,0
Republikon,2020-12-11,,160,0,40,0,0,0,0
Medián,2020-12-05,,159,0,24,0,17,0,0
Závecz RI,2020-12-04,,200,0,0,0,0,0,0
Závecz RI,2020-12-04,,154,0,46,0,0,0,0
IDEA,2020-12-02,,159,0,41,0,0,0,0
Medián,2020-11-28,,160,0,25,0,15,0,0
Republikon,2020-11-19,,162,0,38,0,0,0,0
Publicus,2020-11-19,,163,0,37,0,0,0,0
Závecz RI,2020-11-10,,200,0,0,0,0,0,0
Závecz RI,2020-11-09,,200,0,0,0,0,0,0
Závecz RI,2020-11-09,,157,0,43,0,0,0,0
IDEA,2020-11-02,,159,0,41,0,0,0,0
Republikon,2020-10-22,,163,0,37,0,0,0,0
Publicus,2020-10-22,,166,0,34,0,0,0,0
Iránytű,2020-10-17,,169,0,31,0,0,0,0
Závecz RI,2020-10-10,,160,0,40,0,0,0,0
IDEA,2020-10-02,,158,0,42,0,0,0,0
Publicus,2020-09-23,,166,0,34,0,0,0,0
Závecz RI,2020-09-12,,161,0,39,0,0,0,0
Medián,2020-08-30,,171,0,18,0,11,0,0
IDEA,2020-08-29,,161,0,39,0,0,0,0
Publicus,2020-08-29,,164,0,36,0,0,0,0
Republikon,2020-08-19,,167,0,33,0,0,0,0
Závecz RI,2020-08-12,,164,0,36,0,0,0,0
Publicus,2020-08-12,,164,0,36,0,0,0,0
IDEA,2020-08-01,,162,0,38,0,0,0,0
Publicus,2020-07-22,,166,0,34,0,0,0,0
Závecz RI,2020-07-14,,166,0,34,0,0,0,0
Nézőpont,2020-07-01,,200,0,0,0,0,0,0
Nézőpont,2020-07-01,,174,0,26,0,0,0,0
IDEA,2020-06-28,,159,0,41,0,0,0,0
Publicus,2020-06-23,,168,0,32,0,0,0,0
Nézőpont,2020-06-04,,173,0,27,0,0,0,0
Medián,2020-06-01,,179,0,21,0,0,0,0
IDEA,2020-05-29,,159,0,41,0,0,0,0
Publicus,2020-05-20,,163,0,37,0,0,0,0
Nézőpont,2020-05-07,,164,0,23,0,13,0,0
Iránytű,2020-04-25,,169,0,31,0,0,0,0
IDEA,2020-04-23,,161,0,39,0,0,0,0
Nézőpont,2020-04-17,,163,0,26,0,11,0,0
Závecz RI,2020-04-16,,165,0,35,0,0,0,0
Publicus,2020-04-16,,165,0,35,0,0,0,0
Publicus,2020-03-19,,168,0,32,0,0,0,0
IDEA,2020-03-18,,160,0,40,0,0,0,0
Nézőpont,2020-03-13,,165,0,23,0,12,0,0
Závecz RI,2020-03-08,,162,0,38,0,0,0,0
Publicus,2020-03-07,,163,0,37,0,0,0,0
Publicus,2020-02-23,,165,0,35,0,0,0,0
Závecz RI,2020-02-15,,164,0,36,0,0,0,0
Nézőpont,2020-02-14,,164,0,24,0,12,0,0
Medián,2020-02-10,,171,0,29,0,0,0,0
IDEA,2020-02-06,,159,0,41,0,0,0,0
Publicus,2020-01-23,,165,0,35,0,0,0,0
Republikon,2020-01-20,,170,0,30,0,0,0,0
Závecz RI,2020-01-16,,164,0,36,0,0,0,0
Nézőpont,2020-01-13,,165,0,23,0,12,0,0
IDEA,2019-12-21,,164,0,36,0,0,0,0
Publicus,2019-12-17,,165,0,35,0,0,0,0
Závecz RI,2019-12-11,,164,0,36,0,0,0,0
Medián,2019-12-01,,172,0,28,0,0,0,0
IDEA,2019-12-01,,159,0,41,0,0,0,0
Publicus,2019-11-21,,165,0,35,0,0,0,0
Nézőpont,2019-11-15,,175,0,25,0,0,0,0
Závecz RI,2019-11-12,,164,0,36,0,0,0,0
IDEA,2019-10-30,,165,0,35,0,0,0,0
Nézőpont,2019-10-20,,176,0,24,0,0,0,0
Medián,2019-10-20,,170,0,30,0,0,0,0
Publicus,2019-10-19,,166,0,34,0,0,0,0
Századvég,2019-09-24,,173,0,27,0,0,0,0
Medián,2019-09-23,,171,0,29,0,0,0,0
IDEA,2019-09-22,,163,0,37,0,0,0,0
Závecz RI,2019-09-11,,166,0,34,0,0,0,0
Publicus,2019-09-07,,170,0,30,0,0,0,0
Publicus,2019-08-19,,167,0,33,0,0,0,0
Nézőpont,2019-08-13,,175,0,25,0,0,0,0
Závecz RI,2019-08-08,,167,0,33,0,0,0,0
IDEA,2019-07-24,,158,0,42,0,0,0,0
Publicus,2019-07-19,,166,0,34,0,0,0,0
Nézőpont,2019-07-15,,175,0,25,0,0,0,0
Závecz RI,2019-07-08,,161,0,39,0,0,0,0
Medián,2019-06-30,,164,0,36,0,0,0,0
Publicus,2019-06-24,,169,0,31,0,0,0,0
Nézőpont,2019-06-13,,164,0,25,0,11,0,0
Závecz RI,2019-06-09,,162,0,38,0,0,0,0
IDEA,2019-06-07,,164,0,36,0,0,0,0
Nézőpont,2019-05-25,,176,0,24,0,0,0,0
Publicus,2019-05-19,,170,0,30,0,0,0,0
Publicus,2019-05-19,,180,0,20,0,0,0,0
Medián,2019-05-16,,175,0,25,0,0,0,0
Századvég,2019-05-14,,171,0,29,0,0,0,0
Nézőpont,2019-05-10,,175,0,25,0,0,0,0
Závecz RI,2019-05-09,,171,0,29,0,0,0,0
Iránytű,2019-05-08,,178,0,22,0,0,0,0
IDEA,2019-05-04,,175,0,25,0,0,0,0
Publicus,2019-04-20,,177,0,23,0,0,0,0
Publicus,2019-04-20,,186,0,14,0,0,0,0
Századvég,2019-04-15,,179,0,21,0,0,0,0
Nézőpont,2019-04-13,,183,0,17,0,0,0,0
Závecz RI,2019-04-10,,176,0,24,0,0,0,0
Medián,2019-03-31,,178,0,22,0,0,0,0
IDEA,2019-03-30,,175,0,25,0,0,0,0
Publicus,2019-03-16,,182,0,18,0,0,0,0
Publicus,2019-03-16,,200,0,0,0,0,0,0
Nézőpont,2019-03-14,,185,0,15,0,0,0,0
Závecz RI,2019-03-13,,175,0,25,0,0,0,0
IDEA,2019-03-02,,174,0,26,0,0,0,0
Publicus,2019-02-16,,185,0,15,0,0,0,0
Nézőpont,2019-02-11,,185,0,15,0,0,0,0
Závecz RI,2019-02-06,,177,0,23,0,0,0,0
IDEA,2019-01-27,,163,0,24,0,13,0,0
Medián,2019-01-22,,178,0,22,0,0,0,0
Nézőpont,2019-01-14,,185,0,15,0,0,0,0
Publicus,2019-01-12,,181,0,19,0,0,0,0
Századvég,2019-01-10,,182,0,18,0,0,0,0
Závecz RI,2019-01-07,,177,0,23,0,0,0,0
IDEA,2018-12-18,,176,0,24,0,0,0,0
Publicus,2018-12-16,,182,0,18,0,0,0,0
Závecz RI,2018-12-09,,178,0,22,0,0,0,0
Nézőpont,2018-12-05,,182,0,18,0,0,0,0
Medián,2018-12-02,,178,0,22,0,0,0,0
IDEA,2018-12-01,,176,0,24,0,0,0,0
Nézőpont,2018-11-18,,182,0,18,0,0,0,0
Závecz RI,2018-11-17,,179,0,21,0,0,0,0
Publicus,2018-11-17,,200,0,0,0,0,0,0
IDEA,2018-10-20,,182,0,18,0,0,0,0
Nézőpont,2018-10-19,,182,0,18,0,0,0,0
Závecz RI,2018-10-16,,182,0,18,0,0,0,0
Medián,2018-10-14,,182,0,18,0,0,0,0
Publicus,2018-10-14,,185,0,15,0,0,0,0
Závecz RI,2018-09-15,,184,0,16,0,0,0,0
Publicus,2018-09-15,,182,0,18,0,0,0,0
Publicus,2018-09-15,,186,0,14,0,0,0,0
Medián,2018-09-14,,178,0,22,0,0,0,0
Nézőpont,2018-09-08,,180,0,20,0,0,0,0
Századvég,2018-09-06,,182,0,18,0,0,0,0
Závecz RI,2018-08-14,,184,0,16,0,0,0,0
Publicus,2018-08-13,,200,0,0,0,0,0,0
Nézőpont,2018-08-01,,185,0,15,0,0,0,0
Závecz RI,2018-07-14,,179,0,21,0,0,0,0
Publicus,2018-07-13,,200,0,0,0,0,0,0
Nézőpont,2018-07-09,,185,0,15,0,0,0,0
Századvég,2018-07-04,,184,0,16,0,0,0,0
Nézőpont,2018-06-12,,187,0,13,0,0,0,0
Publicus,2018-06-10,,184,0,16,0,0,0,0
Závecz RI,2018-06-07,,184,0,16,0,0,0,0
Medián,2018-05-27,,183,0,17,0,0,0,0
Nézőpont,2018-05-12,,187,0,13,0,0,0,0
Závecz RI,2018-05-09,,183,0,17,0,0,0,0
Publicus,2018-05-06,,184,0,16,0,0,0,0
Nézőpont,2018-04-21,,185,0,15,0,0,0,0
Publicus,2018-04-20,,200,0,0,0,0,0,0
Medián,2018-04-06,,178,0,22,0,0,0,0
Iránytű,2018-04-04,,177,0,23,0,0,0,0
Publicus,2018-03-31,,183,0,17,0,0,0,0
Závecz RI,2018-03-30,,174,0,26,0,0,0,0
Századvég,2018-03-29,,183,0,17,0,0,0,0
IDEA,2018-03-29,,164,0,36,0,0,0,0
Medián,2018-03-25,,184,0,16,0,0,0,0
Iránytű,2018-03-22,,177,0,23,0,0,0,0
Republikon,2018-03-16,,185,0,15,0,0,0,0
Publicus,2018-03-11,,181,0,19,0,0,0,0
Nézőpont,2018-03-11,,183,0,17,0,0,0,0
Závecz RI,2018-03-10,,179,0,21,0,0,0,0
Medián,2018-03-04,,177,0,23,0,0,0,0
Iránytű,2018-02-28,,175,0,25,0,0,0,0
Századvég,2018-02-27,,181,0,19,0,0,0,0
IDEA,2018-02-27,,162,0,38,0,0,0,0
Republikon,2018-02-15,,185,0,15,0,0,0,0
Nézőpont,2018-02-12,,183,0,17,0,0,0,0
Publicus,2018-02-11,,181,0,19,0,0,0,0
Závecz RI,2018-02-11,,178,0,22,0,0,0,0
Századvég,2018-02-09,,178,0,22,0,0,0,0
IDEA,2018-01-30,,165,0,35,0,0,0,0
Republikon,2018-01-25,,186,0,14,0,0,0,0
Medián,2018-01-21,,176,0,24,0,0,0,0
Századvég,2018-01-20,,180,0,20,0,0,0,0
Publicus,2018-01-13,,184,0,16,0,0,0,0
Nézőpont,2018-01-12,,183,0,17,0,0,0,0
Závecz RI,2018-01-11,,181,0,19,0,0,0,0
Iránytű,2018-01-07,,179,0,21,0,0,0,0
